S1_mean,S1_std,S1_min,S1_max,S1_range,S2_mean,S2_std,S2_min,S2_max,S2_range,S3_mean,S3_std,S3_min,S3_max,S3_range,S4_mean,S4_std,S4_min,S4_max,S4_range,S5_mean,S5_std,S5_min,S5_max,S5_range,S6_mean,S6_std,S6_min,S6_max,S6_range,S7_mean,S7_std,S7_min,S7_max,S7_range,S8_mean,S8_std,S8_min,S8_max,S8_range,group
0.5285,0.014462595433277773,0.499,0.554,0.05500000000000005,1.8594000000000002,0.06655690965048047,1.764,1.971,0.20700000000000007,0.33449999999999996,0.014789260367652669,0.321,0.366,0.044999999999999984,1.6849,0.06233324420670994,1.635,1.832,0.19700000000000006,1.7414999999999998,0.16358093477609856,1.619,2.143,0.5239999999999998,0.3052,0.011650464940650805,0.287,0.32,0.03300000000000003,0.6631,0.007400450436741453,0.654,0.674,0.020000000000000018,1.8085,0.11604812220224275,1.688,2.076,0.3880000000000001,AIR
0.5284,0.014683323874382134,0.498,0.554,0.05600000000000005,1.8582999999999998,0.0657149568633774,1.764,1.966,0.20199999999999996,0.3342,0.01460441333600527,0.32,0.366,0.045999999999999985,1.6838000000000002,0.06155359002076524,1.633,1.828,0.19500000000000006,1.7405000000000002,0.16225169062635714,1.618,2.137,0.5189999999999999,0.3051,0.011637582795981887,0.287,0.32,0.03300000000000003,0.6628000000000001,0.007375635565834316,0.654,0.674,0.020000000000000018,1.8077,0.11488549855302795,1.687,2.071,0.3840000000000001,AIR
0.5281,0.01473054272214331,0.498,0.554,0.05600000000000005,1.8578,0.06551641015806652,1.764,1.965,0.20100000000000007,0.3342,0.01460441333600527,0.32,0.366,0.045999999999999985,1.6835,0.06075131457196811,1.634,1.826,0.19200000000000017,1.7401,0.16202774110901155,1.614,2.135,0.5209999999999997,0.305,0.011234866364235156,0.287,0.319,0.03200000000000003,0.6625,0.007321960878829605,0.653,0.674,0.02100000000000002,1.8069000000000002,0.11394486971045832,1.686,2.066,0.3799999999999999,AIR
0.5283,0.014445683707522401,0.5,0.555,0.05500000000000005,1.8585,0.06659371008002347,1.764,1.972,0.20799999999999996,0.33440000000000003,0.014908610487455443,0.321,0.366,0.044999999999999984,1.6838000000000002,0.06169782996363991,1.636,1.831,0.19500000000000006,1.7403,0.1635400392700346,1.61,2.14,0.53,0.30510000000000004,0.011110055505411913,0.287,0.319,0.03200000000000003,0.6627000000000001,0.007211872926716832,0.654,0.674,0.020000000000000018,1.807,0.11500434774390048,1.688,2.07,0.3819999999999999,AIR
0.5288,0.014195460933379778,0.501,0.555,0.05400000000000005,1.8594000000000002,0.06724614817552334,1.764,1.976,0.21199999999999997,0.33449999999999996,0.014826777577522807,0.321,0.366,0.044999999999999984,1.6847999999999999,0.06312386412619418,1.637,1.836,0.19900000000000007,1.7411999999999999,0.16489174900184936,1.613,2.146,0.5329999999999999,0.3053,0.011595497210363848,0.287,0.32,0.03300000000000003,0.6629,0.006967384333051,0.654,0.674,0.020000000000000018,1.8077999999999999,0.11619791545271181,1.69,2.076,0.3860000000000001,AIR
0.5288,0.014358891941155423,0.5,0.555,0.05500000000000005,1.8596,0.06688497589145113,1.764,1.974,0.20999999999999996,0.3346,0.01475127113166861,0.321,0.366,0.044999999999999984,1.6850999999999998,0.06320416652932517,1.636,1.835,0.19900000000000007,1.7418,0.16442411285723538,1.618,2.146,0.5279999999999998,0.3054,0.011520030864156195,0.287,0.32,0.03300000000000003,0.6633,0.007118832613411968,0.654,0.674,0.020000000000000018,1.8085999999999998,0.1163836567373424,1.69,2.078,0.3879999999999999,AIR
0.5285,0.014462595433277773,0.499,0.554,0.05500000000000005,1.8593,0.06647480725808838,1.764,1.971,0.20700000000000007,0.33449999999999996,0.014584999904772777,0.321,0.366,0.044999999999999984,1.6847999999999999,0.06256161407409146,1.635,1.832,0.19700000000000006,1.7417000000000002,0.1631175785880983,1.62,2.142,0.5219999999999998,0.3053,0.011605075517969627,0.288,0.32,0.03200000000000003,0.6632,0.007284687135812132,0.654,0.674,0.020000000000000018,1.8085,0.11557513188878964,1.689,2.075,0.3860000000000001,AIR
0.5284000000000001,0.014668181739927958,0.498,0.554,0.05600000000000005,1.8582,0.06569931506492287,1.764,1.965,0.20100000000000007,0.3343,0.014530045499661106,0.32,0.366,0.045999999999999985,1.684,0.06126445407684079,1.633,1.827,0.19399999999999995,1.7408000000000001,0.1622020687633518,1.618,2.137,0.5189999999999999,0.3052,0.01150651989091403,0.287,0.32,0.03300000000000003,0.6627000000000001,0.007364328437361647,0.654,0.674,0.020000000000000018,1.8076,0.11463100220562783,1.687,2.07,0.3829999999999998,AIR
0.5282,0.014718091663738971,0.498,0.554,0.05600000000000005,1.8578,0.0655977641895413,1.764,1.965,0.20100000000000007,0.3342,0.01460441333600527,0.32,0.366,0.045999999999999985,1.6834,0.060490954328358514,1.634,1.825,0.19100000000000006,1.7401,0.16161095259913538,1.614,2.134,0.5199999999999998,0.30489999999999995,0.011229425630903844,0.287,0.319,0.03200000000000003,0.6624000000000001,0.0073060097028253305,0.653,0.674,0.02100000000000002,1.8068000000000002,0.11389059077319187,1.686,2.066,0.3799999999999999,AIR
0.5284000000000001,0.014485241531373325,0.5,0.555,0.05500000000000005,1.8584,0.06640481910223082,1.764,1.971,0.20700000000000007,0.3343,0.014742606433207264,0.321,0.366,0.044999999999999984,1.684,0.06155395104206463,1.637,1.831,0.19399999999999995,1.7405000000000002,0.1635286247453672,1.61,2.14,0.53,0.30489999999999995,0.011229425630903844,0.287,0.319,0.03200000000000003,0.6624000000000001,0.007074209810603906,0.654,0.674,0.020000000000000018,1.8067,0.11475485949526397,1.688,2.069,0.381,AIR
